Postcode,PostcodeLatitude,PostcodeLongitude,Venue,VenueLatitude,VenueLongitude,VenueCategory
CB1 0D,52.19226700000001,0.137208,Old Ticket Office,52.194660612859764,0.1377350573573288,Bar
CB1 0D,52.19226700000001,0.137208,Taj Tandoori,52.18862577883538,0.1397095984576205,Indian Restaurant
CB1 0D,52.19226700000001,0.137208,Pret A Manger,52.194912354039104,0.13692753815812292,Sandwich Place
CB1 0D,52.19226700000001,0.137208,Smokeworks,52.19500085289408,0.131481191822504,BBQ Joint
CB1 0D,52.19226700000001,0.137208,Alimentum,52.18898471975442,0.1361894758277012,Restaurant
CB1 0D,52.19226700000001,0.137208,The Light Cinema,52.19030899466226,0.13707129262316056,Multiplex
CB1 0D,52.19226700000001,0.137208,Cambridge Junction,52.19065420116554,0.13659207507696944,Performing Arts Venue
CB1 0D,52.19226700000001,0.137208,The Station Tavern,52.19469323558815,0.13728372910316106,Pub
CB1 0E,52.192267,0.137208,Caffè Nero,52.19452571512287,0.13667318044070836,Coffee Shop
CB1 0E,52.192267,0.137208,Five Guys,52.19019356691131,0.1370753123094346,Burger Joint
CB1 0E,52.192267,0.137208,Nando's,52.19055247002474,0.13684639466966889,Portuguese Restaurant
CB1 0E,52.192267,0.137208,PureGym,52.190160303846646,0.1369669410223417,Gym / Fitness Center
CB1 0E,52.192267,0.137208,Ibis Hotel,52.194829961916625,0.1372595500754832,Hotel
CB1 0E,52.192267,0.137208,Nines,52.189926,0.136558,Buffet
CB1 0E,52.192267,0.137208,Chill #02,52.194805253254806,0.13722325967200538,Café
CB1 0E,52.192267,0.137208,Sainsbury's Local,52.195114773725166,0.13694153531425884,Grocery Store
CB1 0E,52.192267,0.137208,La Maison Du Steak,52.192652033112125,0.13357971373899644,French Restaurant
CB1 0E,52.192267,0.137208,Tamburlaine,52.19460698496513,0.13559037371591307,Hotel
CB1 0E,52.192267,0.137208,Flying Pig,52.19461253585826,0.13189488394180163,Pub
CB1 0E,52.192267,0.137208,Costa Coffee,52.18921547602659,0.13681300766807616,Coffee Shop
CB1 0E,52.192267,0.137208,Old Ticket Office,52.194660612859764,0.1377350573573288,Bar
CB1 0E,52.192267,0.137208,Taj Tandoori,52.18862577883538,0.1397095984576205,Indian Restaurant
CB1 0E,52.192267,0.137208,Pret A Manger,52.194912354039104,0.13692753815812292,Sandwich Place
CB1 0E,52.192267,0.137208,Smokeworks,52.19500085289408,0.131481191822504,BBQ Joint
CB1 0E,52.192267,0.137208,Alimentum,52.18898471975442,0.1361894758277012,Restaurant
CB1 0E,52.192267,0.137208,The Light Cinema,52.19030899466226,0.13707129262316056,Multiplex
CB1 0E,52.192267,0.137208,Cambridge Junction,52.19065420116554,0.13659207507696944,Performing Arts Venue
CB1 0E,52.192267,0.137208,The Station Tavern,52.19469323558815,0.13728372910316106,Pub
CB1 0F,52.192265555555565,0.13720477777777776,Caffè Nero,52.19452571512287,0.13667318044070836,Coffee Shop
CB1 0F,52.192265555555565,0.13720477777777776,Five Guys,52.19019356691131,0.1370753123094346,Burger Joint
CB1 0F,52.192265555555565,0.13720477777777776,Nando's,52.19055247002474,0.13684639466966889,Portuguese Restaurant
CB1 0F,52.192265555555565,0.13720477777777776,PureGym,52.190160303846646,0.1369669410223417,Gym / Fitness Center
CB1 0F,52.192265555555565,0.13720477777777776,Ibis Hotel,52.194829961916625,0.1372595500754832,Hotel
CB1 0F,52.192265555555565,0.13720477777777776,Nines,52.189926,0.136558,Buffet
CB1 0F,52.192265555555565,0.13720477777777776,Chill #02,52.194805253254806,0.13722325967200538,Café
CB1 0F,52.192265555555565,0.13720477777777776,Sainsbury's Local,52.195114773725166,0.13694153531425884,Grocery Store
CB1 0F,52.192265555555565,0.13720477777777776,La Maison Du Steak,52.192652033112125,0.13357971373899644,French Restaurant
CB1 0F,52.192265555555565,0.13720477777777776,Tamburlaine,52.19460698496513,0.13559037371591307,Hotel
CB1 0F,52.192265555555565,0.13720477777777776,Flying Pig,52.19461253585826,0.13189488394180163,Pub
CB1 0F,52.192265555555565,0.13720477777777776,Costa Coffee,52.18921547602659,0.13681300766807616,Coffee Shop
CB1 0F,52.192265555555565,0.13720477777777776,Old Ticket Office,52.194660612859764,0.1377350573573288,Bar
CB1 0F,52.192265555555565,0.13720477777777776,Taj Tandoori,52.18862577883538,0.1397095984576205,Indian Restaurant
CB1 0F,52.192265555555565,0.13720477777777776,Pret A Manger,52.194912354039104,0.13692753815812292,Sandwich Place
CB1 0F,52.192265555555565,0.13720477777777776,Smokeworks,52.19500085289408,0.131481191822504,BBQ Joint
CB1 0F,52.192265555555565,0.13720477777777776,Alimentum,52.18898471975442,0.1361894758277012,Restaurant
CB1 0F,52.192265555555565,0.13720477777777776,The Light Cinema,52.19030899466226,0.13707129262316056,Multiplex
CB1 0F,52.192265555555565,0.13720477777777776,Cambridge Junction,52.19065420116554,0.13659207507696944,Performing Arts Venue
CB1 0F,52.192265555555565,0.13720477777777776,The Station Tavern,52.19469323558815,0.13728372910316106,Pub
CB1 0G,52.19226328571428,0.13719971428571426,Caffè Nero,52.19452571512287,0.13667318044070836,Coffee Shop
CB1 0G,52.19226328571428,0.13719971428571426,Five Guys,52.19019356691131,0.1370753123094346,Burger Joint
